,Year,University Name,University City,University State,Most Awarded Degree,Predominantly Black,Admission Rate,SAT Average,SAT Reading Mid,SAT Math Mid,ACT Cumulative Average,Undergraduate Enrollment,Percent of Students (White),Percent of Students (Black),Percent of Students (Hispanic),Percent of Students (Asian),Average Cost per Academic Year,In State Tuition and Fees,Out of State Tuition and Fees,Completion Rate (4-year institutions
0,2016_17,Alabama A & M University,Normal,AL,Bachelor's,NO,87.38,849.0,425.0,420.0,18.0,4616.0,2.56,91.29,0.76,0.19,22667.0,9366.0,17496.0,0.27
1,2016_17,University of Alabama at Birmingham,Birmingham,AL,Bachelor's,NO,58.14,1125.0,560.0,575.0,25.0,12047.0,57.86,26.26,3.09,5.98,22684.0,8040.0,18368.0,0.53
2,2016_17,Amridge University,Montgomery,AL,Bachelor's,NO,,,,,,293.0,15.7,23.55,0.68,0.0,13380.0,7180.0,7180.0,0.25
3,2016_17,University of Alabama in Huntsville,Huntsville,AL,Bachelor's,NO,76.28,1257.0,590.0,610.0,28.0,6346.0,71.48,11.31,4.11,4.14,22059.0,9842.0,20612.0,0.49
4,2016_17,Alabama State University,Montgomery,AL,Bachelor's,NO,45.9,825.0,415.0,410.0,17.0,4704.0,1.38,93.37,1.11,0.28,19242.0,9220.0,16156.0,0.22
5,2016_17,The University of Alabama,Tuscaloosa,AL,Bachelor's,NO,52.59,1202.0,550.0,555.0,27.0,31663.0,78.41,10.37,4.37,1.18,28422.0,10470.0,26950.0,0.69
7,2016_17,Athens State University,Athens,AL,Bachelor's,NO,,,,,,2888.0,77.84,12.5,2.15,0.76,,,,
8,2016_17,Auburn University at Montgomery,Montgomery,AL,Bachelor's,NO,76.59,1009.0,465.0,470.0,22.0,4171.0,51.26,36.27,1.41,2.47,19255.0,9640.0,20710.0,0.23
9,2016_17,Auburn University,Auburn,AL,Bachelor's,NO,80.54,1217.0,575.0,585.0,27.0,22095.0,82.85,6.73,3.35,2.52,29794.0,10696.0,28840.0,0.75
10,2016_17,Birmingham-Southern College,Birmingham,AL,Bachelor's,NO,48.39,1150.0,555.0,530.0,26.0,1289.0,79.21,11.71,2.17,4.89,48510.0,34448.0,34448.0,0.68
12,2016_17,Concordia College Alabama,Selma,AL,Bachelor's,NO,23.63,,,,,340.0,4.41,92.65,0.29,0.0,27520.0,10320.0,10320.0,0.11
13,2016_17,South University-Montgomery,Montgomery,AL,Bachelor's,NO,,,,,,394.0,29.7,64.47,2.03,1.02,26892.0,17306.0,17306.0,0.08
16,2016_17,Faulkner University,Montgomery,AL,Bachelor's,NO,45.38,972.0,500.0,500.0,21.0,2297.0,41.01,50.37,2.22,0.44,30557.0,20130.0,20130.0,0.33
23,2016_17,Huntingdon College,Montgomery,AL,Bachelor's,NO,56.76,1001.0,473.0,475.0,22.0,1140.0,64.21,21.14,3.95,0.35,34207.0,25800.0,25800.0,0.39
24,2016_17,Heritage Christian University,Florence,AL,Bachelor's,NO,33.33,,,,,50.0,72.0,14.0,0.0,2.0,19353.0,9792.0,9792.0,0.5
27,2016_17,Jacksonville State University,Jacksonville,AL,Bachelor's,NO,53.08,1062.0,500.0,495.0,23.0,6714.0,72.0,19.39,1.07,0.63,20750.0,7500.0,14700.0,0.35
31,2016_17,Judson College,Marion,AL,Bachelor's,NO,57.55,1013.0,581.0,531.0,22.0,327.0,70.64,18.96,1.22,2.14,30562.0,17376.0,17376.0,0.33
33,2016_17,University of West Alabama,Livingston,AL,Bachelor's,NO,53.1,969.0,480.0,460.0,21.0,1974.0,44.58,41.34,2.03,0.2,18533.0,8876.0,16162.0,0.31
36,2016_17,Miles College,Fairfield,AL,Bachelor's,NO,,,,,,1820.0,2.03,96.21,0.55,0.11,22356.0,11604.0,11604.0,0.17
37,2016_17,University of Mobile,Mobile,AL,Bachelor's,NO,61.93,1029.0,485.0,500.0,22.0,1367.0,53.84,19.6,1.9,0.8,34482.0,21400.0,21400.0,0.48
38,2016_17,University of Montevallo,Montevallo,AL,Bachelor's,NO,65.42,1069.0,530.0,520.0,23.0,2399.0,70.74,15.3,4.38,0.88,24599.0,12040.0,24310.0,0.5
40,2016_17,University of North Alabama,Florence,AL,Bachelor's,NO,55.74,1028.0,475.0,483.0,22.0,5846.0,71.88,14.56,2.87,0.51,16601.0,8114.0,14450.0,0.44
42,2016_17,Oakwood University,Huntsville,AL,Bachelor's,NO,48.37,886.0,455.0,425.0,19.0,1719.0,0.47,86.56,3.26,0.17,35585.0,16750.0,16750.0,0.47
47,2016_17,Samford University,Birmingham,AL,Bachelor's,NO,91.38,1170.0,570.0,559.0,26.0,3324.0,83.09,6.92,3.91,1.14,43666.0,29402.0,29402.0,0.73
48,2016_17,Selma University,Selma,AL,Bachelor's,NO,,,,,,165.0,0.0,83.64,0.0,0.0,9641.0,6730.0,6730.0,0.98
51,2016_17,University of South Alabama,Mobile,AL,Bachelor's,NO,80.5,1067.0,515.0,510.0,23.0,11483.0,57.38,22.03,2.95,3.01,19511.0,7548.0,14796.0,0.38
52,2016_17,Spring Hill College,Mobile,AL,Bachelor's,NO,43.53,1121.0,550.0,545.0,25.0,1379.0,68.96,14.65,3.19,1.38,47815.0,35794.0,35794.0,0.53
53,2016_17,Southeastern Bible College,Birmingham,AL,Bachelor's,NO,100.0,970.0,,,21.0,143.0,62.24,34.97,0.7,0.0,20923.0,12600.0,12600.0,0.36
54,2016_17,Stillman College,Tuscaloosa,AL,Bachelor's,NO,41.92,765.0,405.0,420.0,16.0,628.0,3.82,95.06,0.8,0.16,20737.0,10418.0,10418.0,0.18
55,2016_17,Talladega College,Talladega,AL,Bachelor's,NO,,,,,,669.0,2.24,85.35,4.63,0.0,21601.0,12340.0,12340.0,0.43
57,2016_17,Troy University,Troy,AL,Bachelor's,NO,91.25,992.0,503.0,540.0,21.0,13745.0,52.64,31.15,3.57,0.8,18404.0,8260.0,15484.0,0.37
