,Year,University Name,University City,University State,Most Awarded Decree,Predominantly Black,Admission Rate,SAT Average,SAT Reading Mid,SAT Math Mid,ACT Cumulative Average,Undergraduate Enrollment,Percent of Students (White),Percent of Students (Black),Percent of Students (Hispanic),Percent of Students (Asian),Average Cost per Academic Year,In State Tuition and Fees,Out of State Tuition and Fees,Completion Rate (4-year institutions
0,2018_19,Alabama A & M University,Normal,AL,Bachelor's,NO,89.86,957.0,475.0,465.0,18.0,4990.0,1.86,91.2,0.88,0.18,22489.0,9744.0,18354.0,0.27
1,2018_19,University of Alabama at Birmingham,Birmingham,AL,Bachelor's,NO,92.11,1220.0,555.0,555.0,25.0,13186.0,57.17,25.53,3.34,6.33,24347.0,8568.0,19704.0,0.58
2,2018_19,Amridge University,Montgomery,AL,Bachelor's,NO,,,,,,351.0,23.93,71.51,1.71,0.57,17680.0,6900.0,6900.0,0.4
3,2018_19,University of Alabama in Huntsville,Huntsville,AL,Bachelor's,NO,80.87,1314.0,630.0,565.0,28.0,7458.0,71.67,9.69,5.28,3.81,23441.0,10714.0,22362.0,0.52
4,2018_19,Alabama State University,Montgomery,AL,Bachelor's,NO,97.74,972.0,480.0,465.0,18.0,3903.0,1.67,93.52,0.95,0.41,21476.0,11068.0,19396.0,0.3
5,2018_19,The University of Alabama,Tuscaloosa,AL,Bachelor's,NO,59.06,1252.0,590.0,580.0,27.0,32177.0,77.74,9.99,4.99,1.16,29424.0,10780.0,29230.0,0.72
6,2018_19,Central Alabama Community College,Alexander City,AL,Certificate,NO,,,,,,1211.0,72.5,23.37,2.39,0.41,8824.0,4740.0,8610.0,
7,2018_19,Athens State University,Athens,AL,Bachelor's,NO,,,,,,2732.0,76.57,12.7,3.11,0.73,,,,
8,2018_19,Auburn University at Montgomery,Montgomery,AL,Bachelor's,NO,92.81,1084.0,540.0,525.0,21.0,4529.0,45.2,41.31,1.17,2.21,18291.0,8404.0,17812.0,0.34
9,2018_19,Auburn University,Auburn,AL,Bachelor's,NO,75.43,1289.0,615.0,615.0,28.0,24147.0,80.78,5.5,3.42,2.36,31282.0,11276.0,30524.0,0.78
10,2018_19,Birmingham-Southern College,Birmingham,AL,Bachelor's,NO,56.66,1232.0,570.0,560.0,26.0,1265.0,78.58,13.91,2.13,2.53,52176.0,17650.0,17650.0,0.68
11,2018_19,Chattahoochee Valley Community College,Phenix City,AL,Associate's,NO,,,,,,1446.0,45.92,41.01,5.95,1.04,8750.0,4738.0,8608.0,
12,2018_19,South University-Montgomery,Montgomery,AL,Bachelor's,NO,,,,,,321.0,28.35,66.04,1.87,0.93,29309.0,17014.0,17014.0,0.09
13,2018_19,Enterprise State Community College,Enterprise,AL,Associate's,NO,,,,,,1269.0,63.99,23.25,5.83,1.5,9262.0,4740.0,8610.0,
14,2018_19,Coastal Alabama Community College,Bay Minette,AL,Associate's,NO,,,,,,5494.0,65.65,23.97,3.46,1.13,12008.0,4740.0,8610.0,
15,2018_19,Faulkner University,Montgomery,AL,Bachelor's,NO,52.27,1069.0,530.0,575.0,21.0,2079.0,42.38,48.1,1.78,0.53,33944.0,21690.0,21690.0,0.28
16,2018_19,Gadsden State Community College,Gadsden,AL,Associate's,NO,,,,,,4147.0,70.56,19.05,3.88,0.63,10098.0,3840.0,7056.0,
17,2018_19,New Beginning College of Cosmetology,Albertville,AL,Certificate,NO,,,,,,83.0,78.31,6.02,15.66,0.0,,,,
18,2018_19,George C Wallace Community College-Dothan,Dothan,AL,Associate's,NO,,,,,,3746.0,61.88,30.57,3.6,1.12,9564.0,4680.0,8550.0,
19,2018_19,George C Wallace State Community College-Hanceville,Hanceville,AL,Associate's,NO,,,,,,4569.0,83.45,5.84,5.12,0.55,10252.0,4740.0,8610.0,
20,2018_19,George C Wallace State Community College-Selma,Selma,AL,Associate's,NO,,,,,,1104.0,20.65,75.0,0.63,0.63,13788.0,4440.0,8310.0,
21,2018_19,Herzing University-Birmingham,Birmingham,AL,Certificate,NO,95.0,,,,,544.0,28.13,59.56,1.84,0.18,26128.0,14000.0,14000.0,0.5
22,2018_19,Huntingdon College,Montgomery,AL,Bachelor's,NO,58.41,1100.0,540.0,534.0,22.0,1078.0,65.03,21.71,5.57,0.93,35685.0,27400.0,27400.0,0.43
23,2018_19,Heritage Christian University,Florence,AL,Bachelor's,NO,,,,,,49.0,75.51,8.16,8.16,2.04,,11232.0,11232.0,0.5
24,2018_19,J. F. Drake State Community and Technical College,Huntsville,AL,Certificate,NO,,,,,,678.0,34.51,53.83,2.36,0.88,11123.0,4710.0,8580.0,
25,2018_19,J F Ingram State Technical College,Deatsville,AL,Certificate,NO,,,,,,443.0,43.12,54.63,1.35,0.0,5580.0,5328.0,5328.0,
26,2018_19,Jacksonville State University,Jacksonville,AL,Bachelor's,NO,54.3,1135.0,445.0,475.0,23.0,6394.0,71.83,18.66,0.84,0.67,20050.0,8760.0,16536.0,0.42
27,2018_19,Jefferson State Community College,Birmingham,AL,Associate's,NO,,,,,,6937.0,63.53,23.37,5.29,1.74,13284.0,4800.0,8670.0,
28,2018_19,John C Calhoun State Community College,Tanner,AL,Associate's,NO,,,,,,8270.0,65.33,17.79,6.43,2.01,9848.0,4820.0,8690.0,
29,2018_19,Judson College,Marion,AL,Bachelor's,NO,48.2,1054.0,568.0,530.0,20.0,259.0,69.88,20.08,2.32,0.39,31735.0,18510.0,18510.0,0.35
30,2018_19,Lawson State Community College,Birmingham,AL,Certificate,NO,,,,,,2959.0,14.9,79.89,2.1,0.71,13735.0,4740.0,8610.0,
31,2018_19,University of West Alabama,Livingston,AL,Bachelor's,NO,39.66,1059.0,480.0,460.0,21.0,2152.0,43.26,43.12,1.91,0.33,20692.0,10040.0,18490.0,0.31
32,2018_19,Lurleen B Wallace Community College,Andalusia,AL,Certificate,NO,,,,,,1267.0,68.51,25.18,1.34,0.55,14136.0,4740.0,8610.0,
33,2018_19,Marion Military Institute,Marion,AL,Associate's,NO,56.46,1155.0,590.0,595.0,23.0,392.0,63.01,17.09,9.18,2.55,18568.0,9418.0,15418.0,
34,2018_19,Miles College,Fairfield,AL,Bachelor's,NO,,,,,,1546.0,3.3,94.83,0.78,0.0,22828.0,12132.0,12132.0,0.24
35,2018_19,University of Mobile,Mobile,AL,Bachelor's,NO,47.04,1094.0,495.0,494.0,22.0,1294.0,57.96,25.19,1.93,1.62,35463.0,23230.0,23230.0,0.5
36,2018_19,University of Montevallo,Montevallo,AL,Bachelor's,NO,48.48,1170.0,,,24.0,2251.0,67.26,16.66,5.42,1.07,24411.0,12760.0,25780.0,0.49
37,2018_19,Northwest-Shoals Community College,Muscle Shoals,AL,Certificate,NO,,,,,,2590.0,76.18,11.66,6.76,0.54,12255.0,4711.0,8581.0,
38,2018_19,University of North Alabama,Florence,AL,Bachelor's,NO,64.34,1134.0,560.0,540.0,23.0,5741.0,73.4,14.41,3.05,0.64,18712.0,10142.0,18452.0,0.46
39,2018_19,Northeast Alabama Community College,Rainsville,AL,Associate's,NO,,,,,,1982.0,81.48,1.87,11.45,0.35,8840.0,4740.0,8610.0,
40,2018_19,Oakwood University,Huntsville,AL,Bachelor's,NO,65.89,999.0,425.0,551.0,19.0,1569.0,0.57,82.79,5.1,0.38,36361.0,19732.0,19732.0,0.48
41,2018_19,Reid State Technical College,Evergreen,AL,Certificate,NO,,,,,,261.0,39.85,57.47,0.38,0.38,8958.0,4800.0,8670.0,
42,2018_19,Bishop State Community College,Mobile,AL,Certificate,NO,,,,,,2440.0,24.18,66.35,2.46,2.46,10155.0,4740.0,8610.0,
43,2018_19,Samford University,Birmingham,AL,Bachelor's,NO,82.08,1228.0,601.0,570.0,26.0,3524.0,85.1,6.38,3.29,1.05,46474.0,31650.0,31650.0,0.76
