"Color","University.Name","Completion.Rate..4.year.institutions","Undergraduate.Enrollment","Average.Cost.per.Academic.Year","Year"
"Normal","Alabama A & M University",30,5271,23053,"2019_20"
"Normal","University of Alabama at Birmingham",63,13328,24495,"2019_20"
"Normal","University of Alabama in Huntsville",58,7785,23917,"2019_20"
"Normal","Alabama State University",33,3750,21866,"2019_20"
"Normal","The University of Alabama",71,31900,29872,"2019_20"
"Normal","Auburn University at Montgomery",34,4407,19849,"2019_20"
"Normal","Auburn University",79,24209,31590,"2019_20"
"Normal","Birmingham-Southern College",69,1205,32095,"2019_20"
"Normal","South University-Montgomery",10,251,28258,"2019_20"
"Normal","Faulkner University",33,1928,34317,"2019_20"
"Normal","Huntingdon College",49,1007,36828,"2019_20"
"Normal","Heritage Christian University",80,59,20695,"2019_20"
"Normal","Jacksonville State University",41,6743,19004,"2019_20"
"Normal","Judson College",36,245,32691,"2019_20"
"Normal","University of West Alabama",35,2235,21657,"2019_20"
"Normal","Miles College",25,1452,22300,"2019_20"
"Normal","University of Mobile",55,1192,36104,"2019_20"
"Normal","University of Montevallo",55,2200,24746,"2019_20"
"Normal","University of North Alabama",49,5513,20886,"2019_20"
"Normal","Oakwood University",51,1442,37169,"2019_20"
"Normal","Samford University",76,3585,47863,"2019_20"
"Normal","Selma University",2,310,12510,"2019_20"
"Normal","University of South Alabama",46,9380,20792,"2019_20"
"Normal","Spring Hill College",56,1156,55695,"2019_20"
"Normal","Stillman College",27,830,25413,"2019_20"
"Normal","Talladega College",34,1169,23745,"2019_20"
"Normal","Troy University",47,12595,19545,"2019_20"
"Normal","Tuskegee University",52,2394,39383,"2019_20"
"Normal","University of Alaska Anchorage",29,9257,20010,"2019_20"
"Normal","Alaska Bible College",40,30,19851,"2019_20"
"Normal","University of Alaska Fairbanks",35,4410,18558,"2019_20"
"Normal","Alaska Pacific University",45,318,34315,"2019_20"
"Normal","Arizona State University Campus Immersion",63,44038,26296,"2019_20"
"Normal","University of Arizona",65,33715,27417,"2019_20"
"Normal","Southwest University of Visual Arts-Tucson",17,92,35177,"2019_20"
"Normal","Embry-Riddle Aeronautical University-Prescott",69,2885,53046,"2019_20"
"Normal","Grand Canyon University",41,57629,31213,"2019_20"
