"Color","University.Name","Completion.Rate..4.year.institutions","Average.Cost.per.Academic.Year","Year"
"Normal","Alabama A & M University",35,21475,"2014_15"
"Normal","University of Alabama at Birmingham",56,20621,"2014_15"
"Normal","Amridge University",22,16370,"2014_15"
"Normal","University of Alabama in Huntsville",46,21107,"2014_15"
"Normal","Alabama State University",26,18184,"2014_15"
"Normal","The University of Alabama",66,26400,"2014_15"
"Normal","Auburn University at Montgomery",22,17903,"2014_15"
"Normal","Auburn University",71,25282,"2014_15"
"Normal","Birmingham-Southern College",64,45162,"2014_15"
"Normal","Concordia College Alabama",10,17603,"2014_15"
"Normal","Faulkner University",31,30116,"2014_15"
"Normal","Huntingdon College",45,32370,"2014_15"
"Normal","Heritage Christian University",50,18631,"2014_15"
"Normal","Jacksonville State University",30,20830,"2014_15"
"Normal","Judson College",43,28840,"2014_15"
"Normal","University of West Alabama",33,17839,"2014_15"
"Normal","Miles College",20,22436,"2014_15"
"Normal","University of Mobile",41,31220,"2014_15"
"Normal","University of Montevallo",44,22440,"2014_15"
"Normal","University of North Alabama",39,15494,"2014_15"
"Normal","Oakwood University",44,36064,"2014_15"
"Normal","Samford University",66,40900,"2014_15"
"Normal","Selma University",21,12621,"2014_15"
"Normal","University of South Alabama",38,18525,"2014_15"
"Normal","Spring Hill College",58,44970,"2014_15"
"Normal","Southeastern Bible College",18,17066,"2014_15"
"Normal","Stillman College",20,26185,"2014_15"
"Normal","Talladega College",44,20918,"2014_15"
"Normal","Troy University",35,17354,"2014_15"
"Normal","Tuskegee University",47,32853,"2014_15"
"Normal","University of Alaska Anchorage",25,13610,"2014_15"
"Normal","University of Alaska Fairbanks",32,15340,"2014_15"
"Normal","Alaska Pacific University",60,42640,"2014_15"
"Normal","American Indian College Inc",18,23387,"2014_15"
"Normal","Arizona State University Campus Immersion",63,22312,"2014_15"
"Normal","University of Arizona",60,24617,"2014_15"
"Normal","Southwest University of Visual Arts-Tucson",96,44388,"2014_15"
