"Year","University.Name","University.City","University.State","Admission.Rate","SAT.Average","SAT.Reading.Mid","SAT.Math.Mid","ACT.Cumulative.Average","Undergraduate.Enrollment","Average.Cost.per.Academic.Year","In.State.Tuition.and.Fees","Out.of.State.Tuition.and.Fees","Completion.Rate..4.year.institutions","Color"
"2014_15","Alabama A & M University","Normal","AL",52.56,827,424,420,17,4206,21475,9096,16596,0.35,"Normal"
"2014_15","University of Alabama at Birmingham","Birmingham","AL",85.69,1107,570,565,24,11383,20621,7510,17062,0.56,"Normal"
"2014_15","Amridge University","Montgomery","AL",NA,NA,NA,NA,NA,291,16370,6900,6900,0.22,"Normal"
"2014_15","University of Alabama in Huntsville","Huntsville","AL",82.03,1219,595,590,27,5451,21107,9158,21232,0.46,"Normal"
"2014_15","Alabama State University","Montgomery","AL",53.26,851,425,430,18,4811,18184,8720,15656,0.26,"Normal"
"2014_15","The University of Alabama","Tuscaloosa","AL",51.05,1185,555,565,27,29851,26400,9826,24950,0.66,"Normal"
"2014_15","Athens State University","Athens","AL",NA,NA,NA,NA,NA,2991,NA,NA,NA,NA,"Normal"
"2014_15","Auburn University at Montgomery","Montgomery","AL",80.17,1009,486,509,22,4304,17903,9080,19640,0.22,"Normal"
"2014_15","Auburn University","Auburn","AL",83.47,1215,575,588,27,20514,25282,10200,27384,0.71,"Normal"
"2014_15","Birmingham-Southern College","Birmingham","AL",53.39,1181,560,560,27,1180,45162,31708,31708,0.64,"Normal"
"2014_15","Concordia College Alabama","Selma","AL",53.28,942,420,400,21,322,17603,10320,10320,0.1,"Normal"
"2014_15","Faulkner University","Montgomery","AL",NA,NA,NA,NA,NA,2367,30116,18750,18750,0.31,"Normal"
"2014_15","Huntingdon College","Montgomery","AL",58.39,1026,510,490,22,1149,32370,24550,24550,0.45,"Normal"
"2014_15","Heritage Christian University","Florence","AL",100,NA,NA,NA,NA,62,18631,9792,9792,0.5,"Normal"
"2014_15","Jacksonville State University","Jacksonville","AL",83.26,1041,495,485,23,7060,20830,7092,13884,0.3,"Normal"
"2014_15","Judson College","Marion","AL",65.25,NA,NA,NA,NA,376,28840,16258,16258,0.43,"Normal"
"2014_15","University of West Alabama","Livingston","AL",71.99,990,NA,NA,21,1916,17839,8018,14886,0.33,"Normal"
"2014_15","Miles College","Fairfield","AL",NA,NA,NA,NA,NA,1778,22436,11604,11604,0.2,"Normal"
"2014_15","University of Mobile","Mobile","AL",58.47,1014,470,465,22,1460,31220,19475,19475,0.41,"Normal"
"2014_15","University of Montevallo","Montevallo","AL",74.3,1070,548,528,23,2644,22440,10660,21220,0.44,"Normal"
"2014_15","University of North Alabama","Florence","AL",67.88,1029,506,484,22,5485,15494,7412,13268,0.39,"Normal"
"2014_15","Oakwood University","Huntsville","AL",47.87,928,476,450,20,1878,36064,16720,16720,0.44,"Normal"
"2014_15","Samford University","Birmingham","AL",81.91,1165,565,558,26,3033,40900,27324,27324,0.66,"Normal"
"2014_15","Selma University","Selma","AL",NA,NA,NA,NA,NA,472,12621,6680,6680,0.21,"Normal"
"2014_15","University of South Alabama","Mobile","AL",83.51,1048,510,518,23,11267,18525,7188,14076,0.38,"Normal"
"2014_15","Spring Hill College","Mobile","AL",51.77,1116,535,538,25,1215,44970,32468,32468,0.58,"Normal"
"2014_15","Southeastern Bible College","Birmingham","AL",100,930,NA,NA,20,170,17066,11370,11370,0.18,"Normal"
"2014_15","Stillman College","Tuscaloosa","AL",59.01,811,448,424,17,1056,26185,15865,15865,0.2,"Normal"
"2014_15","Talladega College","Talladega","AL",NA,NA,NA,NA,NA,819,20918,12509,12509,0.44,"Normal"
"2014_15","Troy University","Troy","AL",73.26,1047,508,505,23,15025,17354,7564,14092,0.35,"Normal"
"2014_15","Tuskegee University","Tuskegee","AL",49.22,978,455,465,22,2588,32853,19570,19570,0.47,"Normal"
"2014_15","United States Sports Academy","Daphne","AL",NA,NA,NA,NA,NA,90,NA,NA,NA,NA,"Normal"
"2014_15","University of Alaska Anchorage","Anchorage","AK",NA,NA,NA,NA,NA,12865,13610,5494,16466,0.25,"Normal"
"2014_15","Alaska Bible College","Palmer","AK",NA,NA,NA,NA,NA,27,15990,9300,9300,NA,"Normal"
"2014_15","University of Alaska Fairbanks","Fairbanks","AK",NA,NA,NA,NA,NA,5536,15340,5246,16238,0.32,"Normal"
"2014_15","Alaska Pacific University","Anchorage","AK",42.07,1054,555,503,23,275,42640,19610,19610,0.6,"Normal"
"2014_15","Collins College","Phoenix","AZ",NA,NA,NA,NA,NA,83,NA,NA,NA,0.43,"Normal"
"2014_15","American Indian College Inc","Phoenix","AZ",NA,NA,NA,NA,NA,89,23387,11700,11700,0.18,"Normal"
"2014_15","Arizona State University Campus Immersion","Tempe","AZ",84.33,1145,565,580,25,39316,22312,10157,24503,0.63,"Normal"
"2014_15","University of Arizona","Tucson","AZ",74.62,NA,NA,NA,NA,32646,24617,10957,29421,0.6,"Normal"
"2014_15","Southwest University of Visual Arts-Tucson","Tucson","AZ",NA,NA,NA,NA,NA,161,44388,23069,23069,0.96,"Normal"
"2014_15","Embry-Riddle Aeronautical University-Prescott","Prescott","AZ",80.16,NA,NA,NA,NA,1971,46174,31648,31648,0.58,"Normal"
"2014_15","Grand Canyon University","Phoenix","AZ",57.57,NA,NA,NA,NA,38905,30945,17050,17050,0.28,"Normal"
"2014_15","Northern Arizona University","Flagstaff","AZ",80.99,NA,NA,NA,NA,23189,22561,9990,22510,0.52,"Normal"
"2014_15","Ottawa University-Phoenix","Phoenix","AZ",NA,NA,NA,NA,NA,345,NA,11670,11670,NA,"Normal"
"2014_15","Prescott College","Prescott","AZ",68.73,1073,545,503,24,454,41256,26415,26415,0.35,"Normal"
"2014_15","Arizona Christian University","Glendale","AZ",56.73,988,485,480,22,620,33945,22466,22466,0.61,"Normal"
"2014_15","Western International University","Tempe","AZ",NA,NA,NA,NA,NA,996,9800,6000,6000,0.02,"Normal"
"2014_15","University of Arkansas at Little Rock","Little Rock","AR",59.28,1048,470,510,23,7942,22521,7432,17764,0.27,"Normal"
"2014_15","University of Arkansas for Medical Sciences","Little Rock","AR",NA,NA,NA,NA,NA,711,NA,NA,NA,NA,"Normal"
"2014_15","Lyon College","Batesville","AR",61.42,1109,505,528,25,690,33605,24300,24300,0.49,"Normal"
"2014_15","University of Arkansas","Fayetteville","AR",62.04,1155,555,565,26,21405,20350,8210,20300,0.62,"Normal"
"2014_15","University of Arkansas at Pine Bluff","Pine Bluff","AR",38.68,886,410,427,19,2391,15409,6178,11908,0.27,"Normal"
"2014_15","Arkansas State University","Jonesboro","AR",72.39,1088,460,520,24,9139,19359,7720,13480,0.39,"Normal"
"2014_15","Arkansas Tech University","Russellville","AR",86.26,1010,495,535,22,8845,16518,5862,10878,0.45,"Normal"
"2014_15","University of Central Arkansas","Conway","AR",94.26,1049,490,515,23,9232,18354,7889,13806,0.45,"Normal"
"2014_15","Central Baptist College","Conway","AR",56.97,985,445,500,21,788,21616,13800,13800,0.32,"Normal"
"2014_15","Harding University","Searcy","AR",99.12,1131,545,540,25,4485,26364,17040,17040,0.63,"Normal"
"2014_15","Henderson State University","Arkadelphia","AR",62.78,989,485,495,21,3226,18679,7860,14220,0.36,"Normal"
"2014_15","Hendrix College","Conway","AR",82.82,1244,600,600,28,1322,52536,39290,39290,0.73,"Normal"
"2014_15","John Brown University","Siloam Springs","AR",69.78,NA,NA,NA,NA,1742,34776,23588,23588,0.61,"Normal"
"2014_15","Ouachita Baptist University","Arkadelphia","AR",70.61,1112,525,540,25,1455,32560,23320,23320,0.58,"Normal"
"2014_15","University of the Ozarks","Clarksville","AR",88.92,1061,495,520,23,579,35438,24470,24470,0.48,"Normal"
"2014_15","Philander Smith College","Little Rock","AR",NA,NA,NA,NA,NA,565,25061,12564,12564,0.39,"Normal"
"2014_15","Williams Baptist University","Walnut Ridge","AR",70.49,983,425,495,21,508,23161,14360,14360,0.41,"Normal"
"2014_15","Southern Arkansas University Main Campus","Magnolia","AR",71.42,989,475,490,21,2784,18887,7736,11186,0.31,"Normal"
"2014_15","University of Arkansas-Fort Smith","Fort Smith","AR",56.29,NA,NA,NA,NA,5990,13983,4727,10511,0.26,"Normal"
"2014_15","Academy of Art University","San Francisco","CA",NA,NA,NA,NA,NA,9885,35919,19740,19740,0.31,"Normal"
"2014_15","Art Center College of Design","Pasadena","CA",80.9,NA,NA,NA,NA,1814,57738,37830,37830,0.67,"Normal"
"2014_15","Azusa Pacific University","Azusa","CA",81.83,1037,515,515,23,5918,45472,33096,33096,0.67,"Normal"
"2014_15","Bethesda University","Anaheim","CA",66.86,NA,NA,NA,NA,261,13885,9120,9120,0.75,"Normal"
"2014_15","Biola University","La Mirada","CA",75.4,1122,555,555,25,4364,46162,33322,33322,0.69,"Normal"
"2014_15","Brooks Institute","Ventura","CA",99.12,NA,NA,NA,NA,415,32323,20112,20112,0.56,"Normal"
"2014_15","California Institute of Integral Studies","San Francisco","CA",NA,NA,NA,NA,NA,104,NA,NA,NA,NA,"Normal"
"2014_15","California Baptist University","Riverside","CA",79.61,976,485,485,21,6435,39523,29422,29422,0.55,"Normal"
