"Color","University.Name","Completion.Rate..4.year.institutions","Undergraduate.Enrollment","Year"
"Normal","Alabama A & M University",35,4206,"2014_15"
"Normal","University of Alabama at Birmingham",56,11383,"2014_15"
"Normal","Amridge University",22,291,"2014_15"
"Normal","University of Alabama in Huntsville",46,5451,"2014_15"
"Normal","Alabama State University",26,4811,"2014_15"
"Normal","The University of Alabama",66,29851,"2014_15"
"Normal","Auburn University at Montgomery",22,4304,"2014_15"
"Normal","Auburn University",71,20514,"2014_15"
"Normal","Birmingham-Southern College",64,1180,"2014_15"
"Normal","Concordia College Alabama",10,322,"2014_15"
"Normal","Faulkner University",31,2367,"2014_15"
"Normal","Huntingdon College",45,1149,"2014_15"
"Normal","Heritage Christian University",50,62,"2014_15"
"Normal","Jacksonville State University",30,7060,"2014_15"
"Normal","Judson College",43,376,"2014_15"
"Normal","University of West Alabama",33,1916,"2014_15"
"Normal","Miles College",20,1778,"2014_15"
"Normal","University of Mobile",41,1460,"2014_15"
"Normal","University of Montevallo",44,2644,"2014_15"
"Normal","University of North Alabama",39,5485,"2014_15"
"Normal","Oakwood University",44,1878,"2014_15"
"Normal","Samford University",66,3033,"2014_15"
"Normal","Selma University",21,472,"2014_15"
"Normal","University of South Alabama",38,11267,"2014_15"
"Normal","Spring Hill College",58,1215,"2014_15"
"Normal","Southeastern Bible College",18,170,"2014_15"
"Normal","Stillman College",20,1056,"2014_15"
"Normal","Talladega College",44,819,"2014_15"
"Normal","Troy University",35,15025,"2014_15"
"Normal","Tuskegee University",47,2588,"2014_15"
"Normal","University of Alaska Anchorage",25,12865,"2014_15"
"Normal","University of Alaska Fairbanks",32,5536,"2014_15"
"Normal","Alaska Pacific University",60,275,"2014_15"
"Normal","Collins College",43,83,"2014_15"
"Normal","American Indian College Inc",18,89,"2014_15"
"Normal","Arizona State University Campus Immersion",63,39316,"2014_15"
"Normal","University of Arizona",60,32646,"2014_15"
"Normal","Southwest University of Visual Arts-Tucson",96,161,"2014_15"
"Normal","Embry-Riddle Aeronautical University-Prescott",58,1971,"2014_15"
"Normal","Grand Canyon University",28,38905,"2014_15"
"Normal","Northern Arizona University",52,23189,"2014_15"
"Normal","Prescott College",35,454,"2014_15"
"Normal","Arizona Christian University",61,620,"2014_15"
"Normal","Western International University",2,996,"2014_15"
"Normal","University of Arkansas at Little Rock",27,7942,"2014_15"
"Normal","Lyon College",49,690,"2014_15"
"Normal","University of Arkansas",62,21405,"2014_15"
"Normal","University of Arkansas at Pine Bluff",27,2391,"2014_15"
"Normal","Arkansas State University",39,9139,"2014_15"
"Normal","Arkansas Tech University",45,8845,"2014_15"
"Normal","University of Central Arkansas",45,9232,"2014_15"
"Normal","Central Baptist College",32,788,"2014_15"
"Normal","Harding University",63,4485,"2014_15"
"Normal","Henderson State University",36,3226,"2014_15"
"Normal","Hendrix College",73,1322,"2014_15"
"Normal","John Brown University",61,1742,"2014_15"
"Normal","Ouachita Baptist University",58,1455,"2014_15"
"Normal","University of the Ozarks",48,579,"2014_15"
"Normal","Philander Smith College",39,565,"2014_15"
"Normal","Williams Baptist University",41,508,"2014_15"
"Normal","Southern Arkansas University Main Campus",31,2784,"2014_15"
"Normal","University of Arkansas-Fort Smith",26,5990,"2014_15"
"Normal","Academy of Art University",31,9885,"2014_15"
"Normal","Art Center College of Design",67,1814,"2014_15"
"Normal","Azusa Pacific University",67,5918,"2014_15"
"Normal","Bethesda University",75,261,"2014_15"
"Normal","Biola University",69,4364,"2014_15"
"Normal","Brooks Institute",56,415,"2014_15"
"Normal","California Baptist University",55,6435,"2014_15"
"Normal","California College of the Arts",54,1512,"2014_15"
"Normal","California Institute of Technology",92,983,"2014_15"
"Normal","California Lutheran University",66,2799,"2014_15"
"Normal","California Polytechnic State University-San Luis Obispo",75,19177,"2014_15"
"Normal","California State University-Bakersfield",41,7523,"2014_15"
"Normal","California State University-Stanislaus",53,7844,"2014_15"
"Normal","California State University-San Bernardino",48,16439,"2014_15"
"Normal","California State Polytechnic University-Pomona",56,22269,"2014_15"
"Normal","California State University-Chico",59,15842,"2014_15"
"Normal","California State University-Dominguez Hills",32,12199,"2014_15"
"Normal","California State University-Fresno",52,20128,"2014_15"
"Normal","California State University-Fullerton",56,32610,"2014_15"
