"Color","University.Name","Admission.Rate","SAT.Average","Year"
"Normal","Alabama A & M University",52.56,827,"2014_15"
"Normal","University of Alabama at Birmingham",85.69,1107,"2014_15"
"Normal","University of Alabama in Huntsville",82.03,1219,"2014_15"
"Normal","Alabama State University",53.26,851,"2014_15"
"Normal","The University of Alabama",51.05,1185,"2014_15"
"Normal","Auburn University at Montgomery",80.17,1009,"2014_15"
"Normal","Auburn University",83.47,1215,"2014_15"
"Normal","Birmingham-Southern College",53.39,1181,"2014_15"
"Normal","Concordia College Alabama",53.28,942,"2014_15"
"Normal","Huntingdon College",58.39,1026,"2014_15"
"Normal","Jacksonville State University",83.26,1041,"2014_15"
"Normal","University of West Alabama",71.99,990,"2014_15"
"Normal","University of Mobile",58.47,1014,"2014_15"
"Normal","University of Montevallo",74.3,1070,"2014_15"
"Normal","University of North Alabama",67.88,1029,"2014_15"
"Normal","Oakwood University",47.87,928,"2014_15"
"Normal","Samford University",81.91,1165,"2014_15"
"Normal","University of South Alabama",83.51,1048,"2014_15"
"Normal","Spring Hill College",51.77,1116,"2014_15"
"Normal","Southeastern Bible College",100,930,"2014_15"
"Normal","Stillman College",59.01,811,"2014_15"
"Normal","Troy University",73.26,1047,"2014_15"
"Normal","Tuskegee University",49.22,978,"2014_15"
"Normal","Alaska Pacific University",42.07,1054,"2014_15"
"Normal","Arizona State University Campus Immersion",84.33,1145,"2014_15"
"Normal","Prescott College",68.73,1073,"2014_15"
"Normal","Arizona Christian University",56.73,988,"2014_15"
"Normal","University of Arkansas at Little Rock",59.28,1048,"2014_15"
"Normal","Lyon College",61.42,1109,"2014_15"
"Normal","University of Arkansas",62.04,1155,"2014_15"
"Normal","University of Arkansas at Pine Bluff",38.68,886,"2014_15"
"Normal","Arkansas State University",72.39,1088,"2014_15"
"Normal","Arkansas Tech University",86.26,1010,"2014_15"
"Normal","University of Central Arkansas",94.26,1049,"2014_15"
"Normal","Central Baptist College",56.97,985,"2014_15"
"Normal","Harding University",99.12,1131,"2014_15"
"Normal","Henderson State University",62.78,989,"2014_15"
"Normal","Hendrix College",82.82,1244,"2014_15"
"Normal","Ouachita Baptist University",70.61,1112,"2014_15"
"Normal","University of the Ozarks",88.92,1061,"2014_15"
"Normal","Williams Baptist University",70.49,983,"2014_15"
"Normal","Southern Arkansas University Main Campus",71.42,989,"2014_15"
"Normal","Azusa Pacific University",81.83,1037,"2014_15"
"Normal","Biola University",75.4,1122,"2014_15"
"Normal","California Baptist University",79.61,976,"2014_15"
"Normal","California Institute of Technology",8.83,1545,"2014_15"
"Normal","California Lutheran University",60.97,1109,"2014_15"
"Normal","California Polytechnic State University-San Luis Obispo",30.89,1234,"2014_15"
"Normal","California State University-San Bernardino",84.45,884,"2014_15"
"Normal","California State Polytechnic University-Pomona",51.87,1074,"2014_15"
"Normal","California State University-Chico",70.96,996,"2014_15"
"Normal","California State University-Fresno",59.4,910,"2014_15"
"Normal","California State University-Fullerton",44.47,1021,"2014_15"
"Normal","California State University-Long Beach",35.46,1054,"2014_15"
"Normal","California State University-Los Angeles",61.07,871,"2014_15"
"Normal","California State University-Northridge",52.86,914,"2014_15"
"Normal","California State University-Sacramento",72.65,937,"2014_15"
"Normal","University of California-Berkeley",16.02,1382,"2014_15"
"Normal","University of California-Davis",40.37,1226,"2014_15"
"Normal","University of California-Irvine",37.42,1168,"2014_15"
"Normal","University of California-Los Angeles",18.56,1330,"2014_15"
"Normal","University of California-Riverside",58.29,1128,"2014_15"
"Normal","University of California-San Diego",33.29,1313,"2014_15"
"Normal","University of California-Santa Barbara",36.34,1253,"2014_15"
"Normal","University of California-Santa Cruz",55.72,1149,"2014_15"
"Normal","Chapman University",47.04,1210,"2014_15"
"Normal","Concordia University-Irvine",86.08,1038,"2014_15"
"Normal","San Diego Christian College",55.5,992,"2014_15"
"Normal","Claremont McKenna College",10.77,1419,"2014_15"
"Normal","Dominican University of California",80.92,1047,"2014_15"
"Normal","Fresno Pacific University",66.62,1010,"2014_15"
"Normal","Harvey Mudd College",14.25,1500,"2014_15"
"Normal","Holy Names University",57.06,885,"2014_15"
"Normal","Humboldt State University",76.55,986,"2014_15"
"Normal","Life Pacific University",66.33,903,"2014_15"
"Normal","University of La Verne",46.56,1014,"2014_15"
"Normal","La Sierra University",40.64,934,"2014_15"
"Normal","The Master's University and Seminary",75.88,1103,"2014_15"
"Normal","Loyola Marymount University",52.71,1218,"2014_15"
"Normal","Menlo College",45.06,995,"2014_15"
"Normal","Mills College",76.14,1152,"2014_15"
"Normal","Mount Saint Mary's University",78.3,902,"2014_15"
"Normal","Notre Dame de Namur University",77.71,932,"2014_15"
"Normal","Occidental College",42.04,1300,"2014_15"
"Normal","Otis College of Art and Design",66.48,1010,"2014_15"
"Normal","Hope International University",31,896,"2014_15"
"Normal","Pacific Union College",47.44,1017,"2014_15"
"Normal","University of the Pacific",54.9,1185,"2014_15"
"Normal","Pepperdine University",35.46,1234,"2014_15"
"Normal","Point Loma Nazarene University",69.53,1135,"2014_15"
"Normal","Pomona College",12.19,1454,"2014_15"
"Normal","University of Redlands",73.09,1110,"2014_15"
"Normal","San Diego State University",34.48,1115,"2014_15"
"Normal","University of San Diego",46.25,1243,"2014_15"
"Normal","San Francisco State University",65.97,990,"2014_15"
"Normal","University of San Francisco",60.05,1152,"2014_15"
"Normal","William Jessup University",75.81,1009,"2014_15"
"Normal","San Jose State University",59.85,1038,"2014_15"
"Normal","Santa Clara University",49.35,1309,"2014_15"
"Normal","Scripps College",28.4,1360,"2014_15"
"Normal","Simpson University",57.36,1024,"2014_15"
"Normal","Saint Mary's College of California",75.95,1109,"2014_15"
"Normal","Sonoma State University",80.02,984,"2014_15"
"Normal","Vanguard University of Southern California",58,970,"2014_15"
"Normal","Southern California Institute of Architecture",80.79,1151,"2014_15"
"Normal","University of Southern California",18.02,1380,"2014_15"
"Normal","Thomas Aquinas College",82.7,1261,"2014_15"
"Normal","Westmont College",79.36,1175,"2014_15"
