"University.Name","Year.Admit","SAT.Average","Color","Year.Graduate","Completion.Rate..4.year.institutions"
"Abilene Christian University","2014_15",1091,"Normal","2017_18",61
"Adams State University","2014_15",955,"Normal","2017_18",29
"Adelphi University","2014_15",1092,"Normal","2017_18",68
"Adrian College","2014_15",1009,"Normal","2017_18",52
"AdventHealth University","2014_15",928,"Normal","2017_18",19
"Alabama A & M University","2014_15",827,"Normal","2017_18",24
"Alabama State University","2014_15",851,"Normal","2017_18",28
"Alaska Pacific University","2014_15",1054,"Normal","2017_18",53
"Albany College of Pharmacy and Health Sciences","2014_15",1165,"Normal","2017_18",76
"Albion College","2014_15",1125,"Normal","2017_18",57
"Alcorn State University","2014_15",872,"Normal","2017_18",33
"Alderson Broaddus University","2014_15",990,"Normal","2017_18",47
"Alfred University","2014_15",1064,"Normal","2017_18",53
"Alice Lloyd College","2014_15",1008,"Normal","2017_18",55
"Allegheny College","2014_15",1170,"Normal","2017_18",75
"Alma College","2014_15",1101,"Normal","2017_18",68
"Alvernia University","2014_15",970,"Normal","2017_18",60
"Alverno College","2014_15",930,"Normal","2017_18",45
"American International College","2014_15",887,"Normal","2017_18",41
"American University","2014_15",1252,"Normal","2017_18",79
"Amherst College","2014_15",1439,"Normal","2017_18",95
"Anderson University","2014_15",1048,"Normal","2017_18",57
"Anderson University","2014_15",1048,"Normal","2017_18",57
"Anderson University","2014_15",1038,"Normal","2017_18",57
"Anderson University","2014_15",1038,"Normal","2017_18",57
"Andrews University","2014_15",1081,"Normal","2017_18",55
"Angelo State University","2014_15",976,"Normal","2017_18",37
"Appalachian Bible College","2014_15",1007,"Normal","2017_18",57
"Appalachian State University","2014_15",1148,"Normal","2017_18",73
"Aquinas College","2014_15",1090,"Normal","2017_18",59
"Arcadia University","2014_15",1105,"Normal","2017_18",66
"Arizona Christian University","2014_15",988,"Normal","2017_18",47
"Arizona State University Campus Immersion","2014_15",1145,"Normal","2017_18",63
"Arizona State University-Downtown Phoenix","2014_15",1083,"Normal","2017_18",66
"Arizona State University-Polytechnic","2014_15",1138,"Normal","2017_18",59
"Arizona State University-West","2014_15",1095,"Normal","2017_18",58
"Arkansas State University","2014_15",1088,"Normal","2017_18",48
"Arkansas Tech University","2014_15",1010,"Normal","2017_18",39
