"University.Name","University.City","University.State","Admission.Rate","SAT.Average","SAT.Reading.Mid","SAT.Math.Mid","ACT.Cumulative.Average","Undergraduate.Enrollment","Average.Cost.per.Academic.Year","In.State.Tuition.and.Fees","Out.of.State.Tuition.and.Fees","Completion.Rate..4.year.institutions","Completion.Rate.17_18","Comp.Rate.17_18.BIN","Region","Size"
"Alabama A & M University","Normal","AL",52.56,827,424,420,17,4206,21475,9096,16596,0.35,0.24,"Low","South","Large"
"University of Alabama at Birmingham","Birmingham","AL",85.69,1107,570,565,24,11383,20621,7510,17062,0.56,0.53,"Medium","South","Very Large"
"University of Alabama in Huntsville","Huntsville","AL",82.03,1219,595,590,27,5451,21107,9158,21232,0.46,0.49,"Medium","South","Large"
"Alabama State University","Montgomery","AL",53.26,851,425,430,18,4811,18184,8720,15656,0.26,0.28,"Low","South","Large"
"The University of Alabama","Tuscaloosa","AL",51.05,1185,555,565,27,29851,26400,9826,24950,0.66,0.68,"High","South","Very Large"
"Auburn University at Montgomery","Montgomery","AL",80.17,1009,486,509,22,4304,17903,9080,19640,0.22,0.28,"Low","South","Large"
"Auburn University","Auburn","AL",83.47,1215,575,588,27,20514,25282,10200,27384,0.71,0.77,"High","South","Very Large"
"Birmingham-Southern College","Birmingham","AL",53.39,1181,560,560,27,1180,45162,31708,31708,0.64,0.66,"High","South","Small"
"Concordia College Alabama","Selma","AL",53.28,942,420,400,21,322,17603,10320,10320,0.1,0.24,"Low","South","Very Small"
"Huntingdon College","Montgomery","AL",58.39,1026,510,490,22,1149,32370,24550,24550,0.45,0.37,"Low","South","Small"
"Jacksonville State University","Jacksonville","AL",83.26,1041,495,485,23,7060,20830,7092,13884,0.3,0.37,"Low","South","Large"
"University of Mobile","Mobile","AL",58.47,1014,470,465,22,1460,31220,19475,19475,0.41,0.45,"Medium","South","Small"
"University of Montevallo","Montevallo","AL",74.3,1070,548,528,23,2644,22440,10660,21220,0.44,0.5,"Medium","South","Medium"
"University of North Alabama","Florence","AL",67.88,1029,506,484,22,5485,15494,7412,13268,0.39,0.45,"Medium","South","Large"
"Oakwood University","Huntsville","AL",47.87,928,476,450,20,1878,36064,16720,16720,0.44,0.47,"Medium","South","Medium"
"Samford University","Birmingham","AL",81.91,1165,565,558,26,3033,40900,27324,27324,0.66,0.76,"High","South","Large"
"University of South Alabama","Mobile","AL",83.51,1048,510,518,23,11267,18525,7188,14076,0.38,0.4,"Low","South","Very Large"
"Spring Hill College","Mobile","AL",51.77,1116,535,538,25,1215,44970,32468,32468,0.58,0.53,"Medium","South","Small"
"Stillman College","Tuscaloosa","AL",59.01,811,448,424,17,1056,26185,15865,15865,0.2,0.24,"Low","South","Small"
"Troy University","Troy","AL",73.26,1047,508,505,23,15025,17354,7564,14092,0.35,0.39,"Low","South","Very Large"
"Tuskegee University","Tuskegee","AL",49.22,978,455,465,22,2588,32853,19570,19570,0.47,0.52,"Medium","South","Medium"
"Alaska Pacific University","Anchorage","AK",42.07,1054,555,503,23,275,42640,19610,19610,0.6,0.24,"Low","West","Very Small"
"Arizona State University Campus Immersion","Tempe","AZ",84.33,1145,565,580,25,39316,22312,10157,24503,0.63,0.63,"High","West","Very Large"
"Prescott College","Prescott","AZ",68.73,1073,545,503,24,454,41256,26415,26415,0.35,0.44,"Medium","West","Very Small"
"Arizona Christian University","Glendale","AZ",56.73,988,485,480,22,620,33945,22466,22466,0.61,0.47,"Medium","West","Very Small"
"University of Arkansas at Little Rock","Little Rock","AR",59.28,1048,470,510,23,7942,22521,7432,17764,0.27,0.32,"Low","South","Large"
"Lyon College","Batesville","AR",61.42,1109,505,528,25,690,33605,24300,24300,0.49,0.52,"Medium","South","Very Small"
"University of Arkansas","Fayetteville","AR",62.04,1155,555,565,26,21405,20350,8210,20300,0.62,0.62,"High","South","Very Large"
"University of Arkansas at Pine Bluff","Pine Bluff","AR",38.68,886,410,427,19,2391,15409,6178,11908,0.27,0.29,"Low","South","Medium"
"Arkansas State University","Jonesboro","AR",72.39,1088,460,520,24,9139,19359,7720,13480,0.39,0.48,"Medium","South","Very Large"
"Arkansas Tech University","Russellville","AR",86.26,1010,495,535,22,8845,16518,5862,10878,0.45,0.24,"Low","South","Large"
"University of Central Arkansas","Conway","AR",94.26,1049,490,515,23,9232,18354,7889,13806,0.45,0.41,"Medium","South","Very Large"
"Central Baptist College","Conway","AR",56.97,985,445,500,21,788,21616,13800,13800,0.32,0.22,"Low","South","Very Small"
"Harding University","Searcy","AR",99.12,1131,545,540,25,4485,26364,17040,17040,0.63,0.67,"High","South","Large"
"Henderson State University","Arkadelphia","AR",62.78,989,485,495,21,3226,18679,7860,14220,0.36,0.33,"Low","South","Large"
"Hendrix College","Conway","AR",82.82,1244,600,600,28,1322,52536,39290,39290,0.73,0.75,"High","South","Small"
"Ouachita Baptist University","Arkadelphia","AR",70.61,1112,525,540,25,1455,32560,23320,23320,0.58,0.64,"High","South","Small"
"University of the Ozarks","Clarksville","AR",88.92,1061,495,520,23,579,35438,24470,24470,0.48,0.51,"Medium","South","Very Small"
"Williams Baptist University","Walnut Ridge","AR",70.49,983,425,495,21,508,23161,14360,14360,0.41,0.24,"Low","South","Very Small"
"Southern Arkansas University Main Campus","Magnolia","AR",71.42,989,475,490,21,2784,18887,7736,11186,0.31,0.36,"Low","South","Medium"
"Azusa Pacific University","Azusa","CA",81.83,1037,515,515,23,5918,45472,33096,33096,0.67,0.67,"High","West","Large"
"Biola University","La Mirada","CA",75.4,1122,555,555,25,4364,46162,33322,33322,0.69,0.73,"High","West","Large"
"California Baptist University","Riverside","CA",79.61,976,485,485,21,6435,39523,29422,29422,0.55,0.59,"Medium","West","Large"
"California Institute of Technology","Pasadena","CA",8.83,1545,765,785,35,983,58755,43362,43362,0.92,0.89,"High","West","Very Small"
"California Lutheran University","Thousand Oaks","CA",60.97,1109,550,550,25,2799,50425,37140,37140,0.66,0.71,"High","West","Medium"
"California Polytechnic State University-San Luis Obispo","San Luis Obispo","CA",30.89,1234,595,630,28,19177,24218,8918,20078,0.75,0.82,"High","West","Very Large"
"California State University-San Bernardino","San Bernardino","CA",84.45,884,440,450,18,16439,16206,6550,17710,0.48,0.54,"Medium","West","Very Large"
"California State Polytechnic University-Pomona","Pomona","CA",51.87,1074,515,555,24,22269,19042,6904,18064,0.56,0.66,"High","West","Very Large"
"California State University-Chico","Chico","CA",70.96,996,495,495,22,15842,21715,7002,18162,0.59,0.66,"High","West","Very Large"
"California State University-Fresno","Fresno","CA",59.4,910,450,460,19,20128,16316,6299,17459,0.52,0.56,"Medium","West","Very Large"
"California State University-Fullerton","Fullerton","CA",44.47,1021,500,525,22,32610,15627,6315,17475,0.56,0.66,"High","West","Very Large"
"California State University-Long Beach","Long Beach","CA",35.46,1054,515,540,23,31493,17779,6452,17612,0.65,0.69,"High","West","Very Large"
"California State University-Los Angeles","Los Angeles","CA",61.07,871,435,445,18,20643,13479,6348,17508,0.41,0.47,"Medium","West","Very Large"
"California State University-Northridge","Northridge","CA",52.86,914,455,460,19,35409,18665,6549,17709,0.47,0.51,"Medium","West","Very Large"
"California State University-Sacramento","Sacramento","CA",72.65,937,465,475,20,26400,18241,6648,17808,0.44,0.48,"Medium","West","Very Large"
"University of California-Berkeley","Berkeley","CA",16.02,1382,665,705,32,27126,33020,12972,35850,0.91,0.91,"High","West","Very Large"
"University of California-Davis","Davis","CA",40.37,1226,575,630,28,27547,32638,13896,36774,0.83,0.85,"High","West","Very Large"
"University of California-Irvine","Irvine","CA",37.42,1168,540,620,26,24474,29759,13179,36057,0.86,0.85,"High","West","Very Large"
"University of California-Los Angeles","Los Angeles","CA",18.56,1330,645,680,30,29627,32074,12705,35583,0.91,0.91,"High","West","Very Large"
"University of California-Riverside","Riverside","CA",58.29,1128,545,585,25,18784,30174,13407,36285,0.69,0.75,"High","West","Very Large"
"University of California-San Diego","La Jolla","CA",33.29,1313,615,695,30,24801,30092,13427,36305,0.86,0.85,"High","West","Very Large"
"University of California-Santa Barbara","Santa Barbara","CA",36.34,1253,595,640,29,20237,33826,13865,36743,0.81,0.81,"High","West","Very Large"
"University of California-Santa Cruz","Santa Cruz","CA",55.72,1149,550,580,26,16277,33036,13397,36275,0.77,0.77,"High","West","Very Large"
"Chapman University","Orange","CA",47.04,1210,595,605,27,6211,58948,45393,45393,0.74,0.79,"High","West","Large"
"Concordia University-Irvine","Irvine","CA",86.08,1038,510,520,23,1884,42472,30640,30640,0.56,0.65,"High","West","Medium"
"San Diego Christian College","Santee","CA",55.5,992,495,480,22,940,39364,27090,27090,0.44,0.57,"Medium","West","Very Small"
"Claremont McKenna College","Claremont","CA",10.77,1419,705,730,32,1293,62010,47395,47395,0.9,0.9,"High","West","Small"
"Dominican University of California","San Rafael","CA",80.92,1047,520,525,23,1448,57579,41730,41730,0.62,0.72,"High","West","Small"
"Fresno Pacific University","Fresno","CA",66.62,1010,510,500,22,2605,35508,26638,26638,0.63,0.65,"High","West","Medium"
"Harvey Mudd College","Claremont","CA",14.25,1500,724,770,34,802,63860,48594,48594,0.9,0.96,"High","West","Very Small"
"Holy Names University","Oakland","CA",57.06,885,435,448,19,690,48896,34488,34488,0.5,0.43,"Medium","West","Very Small"
"Humboldt State University","Arcata","CA",76.55,986,500,485,21,7958,22287,7171,18331,0.44,0.47,"Medium","West","Large"
"Life Pacific University","San Dimas","CA",66.33,903,470,441,19,479,23926,12860,12860,0.47,0.48,"Medium","West","Very Small"
"University of La Verne","La Verne","CA",46.56,1014,505,510,22,5137,47935,36744,36744,0.59,0.66,"High","West","Large"
"La Sierra University","Riverside","CA",40.64,934,460,475,20,2054,40702,29895,29895,0.5,0.47,"Medium","West","Medium"
"The Master's University and Seminary","Santa Clarita","CA",75.88,1103,550,540,25,1182,40755,29860,29860,0.62,0.55,"Medium","West","Small"
"Loyola Marymount University","Los Angeles","CA",52.71,1218,590,610,28,6064,57016,41597,41597,0.78,0.79,"High","West","Large"
"Menlo College","Atherton","CA",45.06,995,488,509,21,793,52454,37520,37520,0.43,0.53,"Medium","West","Very Small"
"Mills College","Oakland","CA",76.14,1152,585,550,26,909,56336,42918,42918,0.72,0.24,"Low","West","Very Small"
"Mount Saint Mary's University","Los Angeles","CA",78.3,902,460,455,18,2659,48372,34826,34826,0.66,0.66,"High","West","Medium"
"Notre Dame de Namur University","Belmont","CA",77.71,932,475,470,19,1177,47565,31822,31822,0.53,0.48,"Medium","West","Small"
"Occidental College","Los Angeles","CA",42.04,1300,645,655,29,2023,63363,47522,47522,0.85,0.84,"High","West","Medium"
"Otis College of Art and Design","Los Angeles","CA",66.48,1010,495,515,22,1090,53439,40490,40490,0.63,0.24,"Low","West","Small"
"Hope International University","Fullerton","CA",31,896,447,452,19,816,38119,27130,27130,0.49,0.48,"Medium","West","Very Small"
"Pacific Union College","Angwin","CA",47.44,1017,490,505,23,1583,39564,28131,28131,0.46,0.52,"Medium","West","Small"
"University of the Pacific","Stockton","CA",54.9,1185,569,607,27,3802,54032,41342,41342,0.61,0.7,"High","West","Large"
"Pepperdine University","Malibu","CA",35.46,1234,600,625,28,3434,61164,46692,46692,0.84,0.85,"High","West","Large"
"Point Loma Nazarene University","San Diego","CA",69.53,1135,555,560,26,2560,44198,31406,31406,0.73,0.74,"High","West","Medium"
"Pomona College","Claremont","CA",12.19,1454,730,730,33,1635,59730,45832,45832,0.93,0.93,"High","West","Small"
"University of Redlands","Redlands","CA",73.09,1110,550,550,25,3710,57347,43186,43186,0.69,0.77,"High","West","Large"
"San Diego State University","San Diego","CA",34.48,1115,545,565,25,27824,20631,6866,18026,0.66,0.74,"High","West","Very Large"
"University of San Diego","San Diego","CA",46.25,1243,605,620,28,5656,57593,42908,42908,0.77,0.82,"High","West","Large"
"San Francisco State University","San Francisco","CA",65.97,990,490,500,21,25170,19998,6468,17628,0.5,0.54,"Medium","West","Very Large"
"University of San Francisco","San Francisco","CA",60.05,1152,565,580,26,6745,58039,41450,41450,0.7,0.77,"High","West","Large"
"William Jessup University","Rocklin","CA",75.81,1009,510,490,22,1131,37335,24990,24990,0.67,0.64,"High","West","Small"
"San Jose State University","San Jose","CA",59.85,1038,505,535,22,26528,21112,7323,18483,0.52,0.57,"Medium","West","Very Large"
"Santa Clara University","Santa Clara","CA",49.35,1309,635,665,30,5447,59020,43812,43812,0.85,0.9,"High","West","Large"
"Scripps College","Claremont","CA",28.4,1360,695,665,31,962,61370,47378,47378,0.87,0.88,"High","West","Very Small"
"Simpson University","Redding","CA",57.36,1024,515,515,22,1065,35070,24300,24300,0.52,0.57,"Medium","West","Small"
"Saint Mary's College of California","Moraga","CA",75.95,1109,545,555,25,2949,58362,41380,41380,0.69,0.76,"High","West","Medium"
"Sonoma State University","Rohnert Park","CA",80.02,984,495,495,21,8441,22604,7276,18436,0.55,0.58,"Medium","West","Large"
"Vanguard University of Southern California","Costa Mesa","CA",58,970,495,475,21,1941,42756,30050,30050,0.55,0.61,"High","West","Medium"
"Southern California Institute of Architecture","Los Angeles","CA",80.79,1151,521,642,24,263,58142,40262,40262,0.72,0.24,"Low","West","Very Small"
"University of Southern California","Los Angeles","CA",18.02,1380,670,710,31,18392,62092,48280,48280,0.91,0.92,"High","West","Very Large"
"Thomas Aquinas College","Santa Paula","CA",82.7,1261,665,600,28,378,35716,24500,24500,0.72,0.79,"High","West","Very Small"
"Westmont College","Santa Barbara","CA",79.36,1175,590,580,26,1297,53670,39990,39990,0.78,0.75,"High","West","Small"
"Whittier College","Whittier","CA",61.88,1061,525,540,23,1624,50361,41836,41836,0.65,0.69,"High","West","Small"
"Adams State University","Alamosa","CO",65.29,955,475,509,20,2110,19043,8014,18814,0.21,0.29,"Low","West","Medium"
"University of Colorado Denver/Anschutz Medical Campus","Denver","CO",72.99,1055,545,550,23,10786,19096,8500,22852,0.4,0.45,"Medium","West","Very Large"
"University of Colorado Colorado Springs","Colorado Springs","CO",92.4,1089,540,545,24,9310,18890,7462,17494,0.47,0.43,"Medium","West","Very Large"
"University of Colorado Boulder","Boulder","CO",84.16,1207,575,600,27,25873,28887,10789,33151,0.7,0.69,"High","West","Very Large"
"Colorado School of Mines","Golden","CO",36.47,1333,635,680,30,4383,30154,16918,33598,0.76,0.78,"High","West","Large"
"Colorado State University-Fort Collins","Fort Collins","CO",80.48,1128,565,575,25,22373,22929,9897,26277,0.65,0.69,"High","West","Very Large"
"University of Denver","Denver","CO",76.49,1231,595,610,28,5629,55476,42090,42090,0.76,0.75,"High","West","Large"
"Fort Lewis College","Durango","CO",90.82,1020,546,515,22,3609,21691,7252,17780,0.38,0.4,"Low","West","Large"
"Colorado Mesa University","Grand Junction","CO",82.27,970,477,490,21,8413,18169,7116,17720,0.33,0.33,"Low","West","Large"
"Metropolitan State University of Denver","Denver","CO",65.11,973,530,510,21,20583,14522,6070,18888,0.24,0.28,"Low","West","Very Large"
"University of Northern Colorado","Greeley","CO",70.88,1033,525,530,22,9104,19187,7733,19277,0.46,0.48,"Medium","West","Very Large"
"Regis University","Denver","CO",96.04,1108,540,530,25,4914,44191,33060,33060,0.61,0.71,"High","West","Large"
"Colorado State University Pueblo","Pueblo","CO",92.78,971,485,495,21,4227,17795,7834,18775,0.32,0.35,"Low","West","Large"
"Western Colorado University","Gunnison","CO",97.41,990,495,424,22,1936,19547,7874,18319,0.36,0.41,"Medium","West","Medium"
"University of Bridgeport","Bridgeport","CT",60.72,899,450,450,19,3021,46680,29920,29920,0.3,0.42,"Medium","Northeast","Large"
"Central Connecticut State University","New Britain","CT",60.44,1015,505,510,22,9600,20543,8877,20612,0.52,0.52,"Medium","Northeast","Very Large"
"University of Connecticut","Storrs","CT",49.96,1246,600,640,28,18016,26966,12700,32880,0.81,0.83,"High","Northeast","Very Large"
"University of Hartford","West Hartford","CT",72.13,1000,495,500,22,4956,47114,35444,35444,0.53,0.54,"Medium","Northeast","Large"
"University of New Haven","West Haven","CT",80.86,1063,520,535,24,4974,49390,34630,34630,0.5,0.6,"Medium","Northeast","Large"
"Post University","Waterbury","CT",87.07,855,425,430,14,6594,34350,16510,16510,0.26,0.24,"Low","Northeast","Large"
"Quinnipiac University","Hamden","CT",65.91,1104,535,555,25,6503,55265,40670,40670,0.76,0.75,"High","Northeast","Large"
"University of Saint Joseph","West Hartford","CT",79.97,969,480,485,21,930,46088,34755,34755,0.51,0.68,"High","Northeast","Very Small"
"Southern Connecticut State University","New Haven","CT",71.54,932,470,460,20,8133,19704,9157,20937,0.53,0.48,"Medium","Northeast","Large"
